timestamp,무역수지,price(원/kg),total_value
2019-01-01,5.548387097,0.0,5.548387097
2019-01-02,5.548387097,0.0,5.548387097
2019-01-03,5.548387097,19440.0,19445.548387097
2019-01-04,5.548387097,17067.0,17072.548387097
2019-01-05,5.548387097,16448.0,16453.548387097
2019-01-06,5.548387097,0.0,5.548387097
2019-01-07,5.548387097,16996.0,17001.548387097
2019-01-08,5.548387097,16092.0,16097.548387097
2019-01-09,5.548387097,15978.0,15983.548387097
2019-01-10,5.548387097,16180.0,16185.548387097
2019-01-11,5.548387097,15715.0,15720.548387097
2019-01-12,5.548387097,16030.0,16035.548387097
2019-01-13,5.548387097,0.0,5.548387097
2019-01-14,5.548387097,18535.0,18540.548387097
2019-01-15,5.548387097,17009.0,17014.548387097
2019-01-16,5.548387097,15699.0,15704.548387097
2019-01-17,5.548387097,16934.0,16939.548387097
2019-01-18,5.548387097,16258.0,16263.548387097
2019-01-19,5.548387097,17089.0,17094.548387097
2019-01-20,5.548387097,0.0,5.548387097
2019-01-21,5.548387097,21879.0,21884.548387097
2019-01-22,5.548387097,21984.0,21989.548387097
2019-01-23,5.548387097,20565.0,20570.548387097
2019-01-24,5.548387097,20288.0,20293.548387097
2019-01-25,5.548387097,20805.0,20810.548387097
2019-01-26,5.548387097,22315.0,22320.548387097
2019-01-27,5.548387097,0.0,5.548387097
2019-01-28,5.548387097,23074.0,23079.548387097
2019-01-29,5.548387097,21239.0,21244.548387097
2019-01-30,5.548387097,18540.0,18545.548387097
2019-01-31,5.548387097,18310.0,18315.548387097
2019-02-01,1.178571429,20307.0,20308.178571429
2019-02-02,1.178571429,21434.0,21435.178571429
2019-02-03,1.178571429,0.0,1.178571429
2019-02-04,1.178571429,22597.0,22598.178571429
2019-02-05,1.178571429,0.0,1.178571429
2019-02-06,1.178571429,0.0,1.178571429
2019-02-07,1.178571429,0.0,1.178571429
2019-02-08,1.178571429,18336.0,18337.178571429
2019-02-09,1.178571429,22966.0,22967.178571429
2019-02-10,1.178571429,0.0,1.178571429
2019-02-11,1.178571429,24381.0,24382.178571429
2019-02-12,1.178571429,24239.0,24240.178571429
2019-02-13,1.178571429,27972.0,27973.178571429
2019-02-14,1.178571429,26205.0,26206.178571429
2019-02-15,1.178571429,25887.0,25888.178571429
2019-02-16,1.178571429,24306.0,24307.178571429
2019-02-17,1.178571429,0.0,1.178571429
2019-02-18,1.178571429,25303.0,25304.178571429
2019-02-19,1.178571429,23861.0,23862.178571429
2019-02-20,1.178571429,26431.0,26432.178571429
2019-02-21,1.178571429,27742.0,27743.178571429
2019-02-22,1.178571429,29043.0,29044.178571429
2019-02-23,1.178571429,27263.0,27264.178571429
2019-02-24,1.178571429,0.0,1.178571429
2019-02-25,1.178571429,30440.0,30441.178571429
2019-02-26,1.178571429,30676.0,30677.178571429
2019-02-27,1.178571429,31540.0,31541.178571429
2019-02-28,1.178571429,34638.0,34639.178571429
2019-03-01,-0.064516129,36530.0,36529.935483871
2019-03-02,-0.064516129,36102.0,36101.935483871
2019-03-03,-0.064516129,0.0,-0.064516129
2019-03-04,-0.064516129,39461.0,39460.935483871
2019-03-05,-0.064516129,43882.0,43881.935483871
2019-03-06,-0.064516129,45658.0,45657.935483871
2019-03-07,-0.064516129,36693.0,36692.935483871
2019-03-08,-0.064516129,39842.0,39841.935483871
2019-03-09,-0.064516129,40711.0,40710.935483871
2019-03-10,-0.064516129,0.0,-0.064516129
2019-03-11,-0.064516129,39670.0,39669.935483871
2019-03-12,-0.064516129,38620.0,38619.935483871
